Experiment	GEO	ID	lineage	treatment	Cell_type	Donor
SRX4510674	GSM3319823	1003-Naive_B-S	B	treatment1	Naive_B	1003
SRX4510675	GSM3319824	1003-CD8pos_T-U	CD8	no_treament	CD8pos_T	1003
SRX4510676	GSM3319825	1003-CD8pos_T-S	CD8	treatment1	CD8pos_T	1003
SRX4510677	GSM3319826	1003-Central_memory_CD8pos_T-U	CD8	no_treament	Central_memory_CD8pos_T	1003
SRX4510678	GSM3319827	1003-Central_memory_CD8pos_T-S	CD8	treatment1	Central_memory_CD8pos_T	1003
SRX4510679	GSM3319828	1003-Effector_memory_CD8pos_T-U	CD8	no_treament	Effector_memory_CD8pos_T	1003
SRX4510680	GSM3319829	1003-Effector_memory_CD8pos_T-S	CD8	treatment1	Effector_memory_CD8pos_T	1003
SRX4510681	GSM3319830	1003-Naive_CD8_T-U	CD8	no_treament	Naive_CD8_T	1003
SRX4510682	GSM3319831	1003-Naive_CD8_T-S	CD8	treatment1	Naive_CD8_T	1003
SRX4510683	GSM3319832	1003-Gamma_delta_T-U	GD	no_treament	Gamma_delta_T	1003
SRX4510684	GSM3319833	1003-Gamma_delta_T-S	GD	treatment1	Gamma_delta_T	1003
SRX4510685	GSM3319834	1003-Effector_CD4pos_T-U	CD4	no_treament	Effector_CD4pos_T	1003
SRX4510686	GSM3319835	1003-Effector_CD4pos_T-S	CD4	treatment1	Effector_CD4pos_T	1003
SRX4510687	GSM3319836	1003-Follicular_T_Helper-U	CD4	no_treament	Follicular_T_Helper	1003
SRX4510688	GSM3319837	1003-Follicular_T_Helper-S	CD4	treatment1	Follicular_T_Helper	1003
SRX4510689	GSM3319838	1003-Memory_Teffs-U	CD4	no_treament	Memory_Teffs	1003
SRX4510690	GSM3319839	1003-Memory_Teffs-S	CD4	treatment1	Memory_Teffs	1003
SRX4510691	GSM3319840	1003-Memory_Tregs-U	CD4	no_treament	Memory_Tregs	1003
SRX4510692	GSM3319841	1003-Memory_Tregs-S	CD4	treatment1	Memory_Tregs	1003
SRX4510693	GSM3319842	1003-Naive_Teffs-U	CD4	no_treament	Naive_Teffs	1003
SRX4510694	GSM3319843	1003-Naive_Teffs-S	CD4	treatment1	Naive_Teffs	1003
SRX4510695	GSM3319844	1003-Regulatory_T-U	CD4	no_treament	Regulatory_T	1003
SRX4510696	GSM3319845	1003-Regulatory_T-S	CD4	treatment1	Regulatory_T	1003
SRX4510697	GSM3319846	1003-Th1_precursors-U	CD4	no_treament	Th1_precursors	1003
SRX4510698	GSM3319847	1003-Th1_precursors-S	CD4	treatment1	Th1_precursors	1003
SRX4510699	GSM3319848	1003-Th17_precursors-U	CD4	no_treament	Th17_precursors	1003
SRX4510700	GSM3319849	1003-Th17_precursors-S	CD4	treatment1	Th17_precursors	1003
SRX4510701	GSM3319850	1003-Th2_precursors-U	CD4	no_treament	Th2_precursors	1003
SRX4510702	GSM3319851	1003-Th2_precursors-S	CD4	treatment1	Th2_precursors	1003
SRX4510703	GSM3319852	1003-Mature_NK-U	NK	no_treament	Mature_NK	1003
SRX4510704	GSM3319853	1003-Mature_NK-S	NK	treatment1	Mature_NK	1003
SRX4510705	GSM3319854	1003-Monocytes-U	MYELOID	no_treament	Monocytes	1003
SRX4510706	GSM3319855	1003-Monocytes-S	MYELOID	treatment1	Monocytes	1003
SRX4510707	GSM3319856	1004-Bulk_B-U	B	no_treament	Bulk_B	1004
SRX4510708	GSM3319857	1004-Mem_B-U	B	no_treament	Mem_B	1004
SRX4510709	GSM3319858	1004-Naive_B-U	B	no_treament	Naive_B	1004
SRX4510710	GSM3319859	1004-CD8pos_T-U	CD8	no_treament	CD8pos_T	1004
SRX4510711	GSM3319860	1004-CD8pos_T-S	CD8	treatment1	CD8pos_T	1004
SRX4510712	GSM3319861	1004-Central_memory_CD8pos_T-U	CD8	no_treament	Central_memory_CD8pos_T	1004
SRX4510713	GSM3319862	1004-Central_memory_CD8pos_T-S	CD8	treatment1	Central_memory_CD8pos_T	1004
SRX4510714	GSM3319863	1004-Effector_memory_CD8pos_T-U	CD8	no_treament	Effector_memory_CD8pos_T	1004
SRX4510715	GSM3319864	1004-Effector_memory_CD8pos_T-S	CD8	treatment1	Effector_memory_CD8pos_T	1004
SRX4510716	GSM3319865	1004-Naive_CD8_T-U	CD8	no_treament	Naive_CD8_T	1004
SRX4510717	GSM3319866	1004-Naive_CD8_T-S	CD8	treatment1	Naive_CD8_T	1004
SRX4510718	GSM3319867	1004-Gamma_delta_T-U	GD	no_treament	Gamma_delta_T	1004
SRX4510719	GSM3319868	1004-Gamma_delta_T-S	GD	treatment1	Gamma_delta_T	1004
SRX4510720	GSM3319869	1004-Effector_CD4pos_T-U	CD4	no_treament	Effector_CD4pos_T	1004
SRX4510721	GSM3319870	1004-Effector_CD4pos_T-S	CD4	treatment1	Effector_CD4pos_T	1004
SRX4510722	GSM3319871	1004-Follicular_T_Helper-U	CD4	no_treament	Follicular_T_Helper	1004
SRX4510723	GSM3319872	1004-Follicular_T_Helper-S	CD4	treatment1	Follicular_T_Helper	1004
SRX4510724	GSM3319873	1004-Memory_Teffs-U	CD4	no_treament	Memory_Teffs	1004
SRX4510725	GSM3319874	1004-Memory_Teffs-S	CD4	treatment1	Memory_Teffs	1004
SRX4510726	GSM3319875	1004-Memory_Tregs-U	CD4	no_treament	Memory_Tregs	1004
SRX4510727	GSM3319876	1004-Memory_Tregs-S	CD4	treatment1	Memory_Tregs	1004
SRX4510728	GSM3319877	1004-Naive_Teffs-U	CD4	no_treament	Naive_Teffs	1004
SRX4510729	GSM3319878	1004-Naive_Teffs-S	CD4	treatment1	Naive_Teffs	1004
SRX4510730	GSM3319879	1004-Naive_Tregs-U	CD4	no_treament	Naive_Tregs	1004
SRX4510731	GSM3319880	1004-Naive_Tregs-S	CD4	treatment1	Naive_Tregs	1004
SRX4510732	GSM3319881	1004-Regulatory_T-U	CD4	no_treament	Regulatory_T	1004
SRX4510733	GSM3319882	1004-Th1_precursors-S	CD4	treatment1	Th1_precursors	1004
SRX4510734	GSM3319883	1004-Th17_precursors-S	CD4	treatment1	Th17_precursors	1004
SRX4510735	GSM3319884	1004-Th2_precursors-S	CD4	treatment1	Th2_precursors	1004
SRX4510736	GSM3319885	1004-Mature_NK-U	NK	no_treament	Mature_NK	1004
SRX4510737	GSM3319886	1004-Mature_NK-S	NK	treatment1	Mature_NK	1004
SRX4510738	GSM3319887	1004-Monocytes-U	MYELOID	no_treament	Monocytes	1004
SRX4510739	GSM3319888	1004-Monocytes-S	MYELOID	treatment1	Monocytes	1004
SRX4510740	GSM3319889	1004-Myeloid_DCs-U	MYELOID	no_treament	Myeloid_DCs	1004
SRX4510741	GSM3319890	1008-Monocytes-S	MYELOID	treatment2	Monocytes	1008
SRX4510742	GSM3319891	1009-Naive_B-S	B	treatment2	Naive_B	1009
SRX4510743	GSM3319892	1009-Naive_Teffs-S	CD4	treatment2	Naive_Teffs	1009
SRX4510744	GSM3319893	1009-Naive_Tregs-S	CD4	treatment2	Naive_Tregs	1009
SRX4510745	GSM3319894	1009-Mature_NK-S	NK	treatment2	Mature_NK	1009
SRX4510746	GSM3319895	1009-Monocytes-S	MYELOID	treatment2	Monocytes	1009
SRX4510747	GSM3319896	1010-Mem_B-U	B	no_treament	Mem_B	1010
SRX4510748	GSM3319897	1010-Naive_B-U	B	no_treament	Naive_B	1010
SRX4510749	GSM3319898	1010-Effector_CD4pos_T-U	CD4	no_treament	Effector_CD4pos_T	1010
SRX4510750	GSM3319899	1010-Naive_Tregs-S	CD4	treatment2	Naive_Tregs	1010
SRX4510751	GSM3319900	1010-Th1_precursors-U	CD4	no_treament	Th1_precursors	1010
SRX4510752	GSM3319901	1010-Th17_precursors-U	CD4	no_treament	Th17_precursors	1010
SRX4510753	GSM3319902	1010-Th2_precursors-U	CD4	no_treament	Th2_precursors	1010
SRX4510754	GSM3319903	1010-Immature_NK-U	NK	no_treament	Immature_NK	1010
SRX4510755	GSM3319904	1010-Mature_NK-S	NK	treatment2	Mature_NK	1010
SRX4510756	GSM3319905	1010-Monocytes-S	MYELOID	treatment2	Monocytes	1010
SRX4510757	GSM3319906	1011-Naive_B-S	B	treatment2	Naive_B	1011
SRX4510758	GSM3319907	1011-Naive_Teffs-S	CD4	treatment2	Naive_Teffs	1011
SRX4510759	GSM3319908	1011-Monocytes-S	MYELOID	treatment2	Monocytes	1011
