OX40	total	organ	tcgaid
8412	3209163459	Liver	TCGA-LIHC
17682	5004034271	Prostate	TCGA-PRAD
20257	4866300365	Colorectal	TCGA-READ
3695	9792834083	Liver	TCGA-LIHC
2235	5253114033	Bladder	TCGA-BLCA
2879	5070609868	Brain	TCGA-LGG
6884	5671037875	Breast	TCGA-BRCA
32142	2343425890	Uterus	TCGA-UCEC
5219	4628283117	Soft Tissue	TCGA-SARC
85517	8503711974	Kidney	TCGA-KIRC
41321	7904714241	Adrenal Gland	TCGA-PCPG
2071	2286379335	Uterus	TCGA-UCEC
28902	5803477975	Lymph Nodes	TCGA-DLBC
14820	6191407265	Pleura	TCGA-MESO
1473	5952344828	Breast	TCGA-BRCA
20140	6870826516	Thymus	TCGA-THYM
6694	2508694292	Lung	TCGA-LUSC
88600	17581292913	Ovary	TCGA-OV
4071	8346068487	Brain	TCGA-LGG
4860	3815082297	Brain	TCGA-LGG
21047	5186447098	Lung	TCGA-LUAD
36662	13894916716	Stomach	TCGA-STAD
1794	5640722700	Brain	TCGA-GBM
5041	6410758016	Brain	TCGA-GBM
6862	7264169017	Prostate	TCGA-PRAD
9522	5597519040	Breast	TCGA-BRCA
2541	3406941449	Bone Marrow	TCGA-LAML
10543	3460889441	Lung	TCGA-LUAD
26073	7011942831	Thyroid	TCGA-THCA
17998	8296443694	Thyroid	TCGA-THCA
22602	8421137490	Breast	TCGA-BRCA
40502	7171392443	Cervix	TCGA-CESC
31954	7787992801	Breast	TCGA-BRCA
4738	3278035368	Prostate	TCGA-PRAD
3463	8156182777	Brain	TCGA-LGG
50209	7626831574	Thyroid	TCGA-THCA
28348	8478654477	Cervix	TCGA-CESC
40764	8079311908	Thyroid	TCGA-THCA
15334	5835338360	Bladder	TCGA-BLCA
2891	4531853080	Prostate	TCGA-PRAD
1571	6812218577	Prostate	TCGA-PRAD
8757	6895113372	Prostate	TCGA-PRAD
44905	7582815718	Soft Tissue	TCGA-SARC
21937	11972578275	Stomach	TCGA-STAD
6491	5214501484	Prostate	TCGA-PRAD
