OX40	total	organ	tcgaid
25278	7994569440	Liver	TCGA-LIHC
10094	5528364574	Prostate	TCGA-PRAD
29307	4825754121	Lung	TCGA-LUSC
134324	17899675785	Stomach	TCGA-STAD
16324	6136262490	Cervix	TCGA-CESC
1508	8148837729	Brain	TCGA-LGG
18992	6424947609	Liver	TCGA-LIHC
304	738880424	Uterus	TCGA-UCEC
19191	5417849147	Thyroid	TCGA-THCA
240	2188740703	Breast	TCGA-BRCA
2487	8245903284	Breast	TCGA-BRCA
5563	9426163667	Breast	TCGA-BRCA
27083	6705402440	Colorectal	TCGA-COAD
14173	7578784134	Breast	TCGA-BRCA
43681	6510773994	Kidney	TCGA-KIRC
46820	5527738295	Kidney	TCGA-KIRC
27869	18208327592	Stomach	TCGA-STAD
7598	10678143150	Stomach	TCGA-STAD
11827	7483939910	Breast	TCGA-BRCA
39815	8828039941	Lung	TCGA-LUSC
56360	10397113163	Head and Neck	TCGA-HNSC
11915	5964241479	Adrenal Gland	TCGA-PCPG
3249	5535613331	Eye	TCGA-UVM
3777	8809252463	Skin	TCGA-SKCM
9389	6474425575	Skin	TCGA-SKCM
41065	6484014567	Breast	TCGA-BRCA
9016	5651062376	Brain	TCGA-LGG
8360	4831242592	Colorectal	TCGA-READ
64449	8923638703	Breast	TCGA-BRCA
3599	2178365845	Uterus	TCGA-UCEC
4537	6521640565	Pancreas	TCGA-PAAD
22262	11761018235	Stomach	TCGA-STAD
51386	3188698022	Bladder	TCGA-BLCA
1440	7112967392	Brain	TCGA-LGG
2631	6207111648	Brain	TCGA-LGG
12618	9535362997	Brain	TCGA-GBM
2469	2103725578	Colorectal	TCGA-COAD
21502	9670495361	Skin	TCGA-SKCM
1580	7498790130	Eye	TCGA-UVM
695	8498962374	Brain	TCGA-LGG
20808	6530790058	Soft Tissue	TCGA-SARC
28643	5120335928	Bladder	TCGA-BLCA
36695	9649765458	Skin	TCGA-SKCM
2634	6167003832	Liver	TCGA-LIHC
13971	6803573656	Skin	TCGA-SKCM
14301	5780725509	Lung	TCGA-LUAD
11783	6399056914	Ovary	TCGA-OV
5166	2337201725	Uterus	TCGA-UCEC
30696	7556332247	Bladder	TCGA-BLCA
31031	9407756533	Breast	TCGA-BRCA
12497	2096327507	Colorectal	TCGA-COAD
2891	9002374494	Breast	TCGA-BRCA
3019	8952787967	Brain	TCGA-LGG
7723	7807543696	Skin	TCGA-SKCM
96851	8684379498	Skin	TCGA-SKCM
12115	6842203231	Colorectal	TCGA-COAD
18285	3192275451	Lung	TCGA-LUAD
36316	8549996879	Liver	TCGA-LIHC
192	3070187117	Liver	TCGA-LIHC
17063	5817624023	Kidney	TCGA-KIRC
15240	6392867197	Testis	TCGA-TGCT
18024	6159500334	Stomach	TCGA-STAD
44145	17446904405	Ovary	TCGA-OV
1917	3885161077	Bone Marrow	TCGA-LAML
20438	5124044238	Uterus	TCGA-UCEC
30433	16804761482	Stomach	TCGA-STAD
20836	7248770189	Liver	TCGA-LIHC
16437	6182199936	Liver	TCGA-LIHC
4080	2531282596	Uterus	TCGA-UCEC
46444	13868225556	Stomach	TCGA-STAD
32054	7875461553	Kidney	TCGA-KIRC
6173	3736395447	Lung	TCGA-LUAD
24553	8878986112	Lung	TCGA-LUAD
21767	3454235010	Liver	TCGA-LIHC
8186	7799921036	Liver	TCGA-LIHC
16195	4867804963	Bladder	TCGA-BLCA
14384	7017368814	Kidney	TCGA-KICH
2608	7413045065	Brain	TCGA-LGG
2733	5062836189	Eye	TCGA-UVM
5781	5661901538	Breast	TCGA-BRCA
6131	8628863982	Thyroid	TCGA-THCA
7661	5366745946	Uterus	TCGA-UCEC
16411	8129548850	Thyroid	TCGA-THCA
28337	1965249983	Uterus	TCGA-UCEC
21234	2575027498	Uterus	TCGA-UCEC
4527	1345556434	Uterus	TCGA-UCEC
76911	8222772061	Kidney	TCGA-KIRC
12821	9547736733	Soft Tissue	TCGA-SARC
6561	5331406156	Lung	TCGA-LUSC
9687	9180797774	Breast	TCGA-BRCA
23234	8120183069	Breast	TCGA-BRCA
85647	8138392607	Breast	TCGA-BRCA
16107	9897871750	Breast	TCGA-BRCA
748	7736355733	Liver	TCGA-LIHC
7813	13383718204	Esophagus	TCGA-ESCA
42437	13259716396	Ovary	TCGA-OV
15422	7179372894	Pancreas	TCGA-PAAD
14441	4668144555	Head and Neck	TCGA-HNSC
21367	9583221237	Breast	TCGA-BRCA
6311	7201977652	Lung	TCGA-LUSC
14132	8015010475	Kidney	TCGA-KICH
34301	7487083839	Pancreas	TCGA-PAAD
7415	7749848159	Breast	TCGA-BRCA
16196	1997736949	Colorectal	TCGA-COAD
5501	7406588857	Kidney	TCGA-KIRP
13643	6965505556	Lung	TCGA-LUSC
14315	7053660548	Lung	TCGA-LUSC
4227	3952027381	Adrenal Gland	TCGA-ACC
6899	2304437157	Uterus	TCGA-UCEC
9834	8368563162	Thyroid	TCGA-THCA
5209	9038426585	Brain	TCGA-LGG
15496	7805876245	Kidney	TCGA-KIRP
7939	8769240383	Kidney	TCGA-KIRP
36354	4989915788	Uterus	TCGA-UCEC
1093	5874693182	Brain	TCGA-LGG
1031	6059824394	Brain	TCGA-LGG
126357	6230891329	Breast	TCGA-BRCA
53028	10259971130	Lung	TCGA-LUAD
25130	7156240740	Breast	TCGA-BRCA
5799	4467323249	Lung	TCGA-LUSC
2934	3038034471	Bone Marrow	TCGA-LAML
53912	6958843136	Bladder	TCGA-BLCA
18794	6578402301	Lung	TCGA-LUSC
16047	8194105081	Kidney	TCGA-KIRC
14537	4398330859	Cervix	TCGA-CESC
13887	9578750731	Brain	TCGA-GBM
40580	5278452546	Kidney	TCGA-KIRC
14418	5831723376	Head and Neck	TCGA-HNSC
21473	13339659502	Esophagus	TCGA-ESCA
12524	9430601060	Head and Neck	TCGA-HNSC
24305	8018945578	Lung	TCGA-LUSC
27841	7309349538	Thyroid	TCGA-THCA
20704	7158128062	Thyroid	TCGA-THCA
3363	1869111684	Colorectal	TCGA-READ
9765	5166967024	Breast	TCGA-BRCA
31430	5996531840	Head and Neck	TCGA-HNSC
84049	6762083672	Kidney	TCGA-KIRC
31561	9113648422	Kidney	TCGA-KIRC
105080	5174398861	Head and Neck	TCGA-HNSC
5107	9290212956	Breast	TCGA-BRCA
5623	3706974115	Prostate	TCGA-PRAD
24332	10072405044	Lung	TCGA-LUAD
27018	6675369001	Head and Neck	TCGA-HNSC
7662	6026625790	Cervix	TCGA-CESC
1958	7769591960	Prostate	TCGA-PRAD
20715	7029464024	Breast	TCGA-BRCA
7476	3673028981	Liver	TCGA-LIHC
30589	14625128315	Stomach	TCGA-STAD
979	794837598	Colorectal	TCGA-COAD
7928	8985565277	Kidney	TCGA-KICH
7589	7152161494	Kidney	TCGA-KICH
18401	4455407874	Bladder	TCGA-BLCA
8831	4478001063	Liver	TCGA-LIHC
13715	5187179629	Lung	TCGA-LUSC
130530	5478286871	Kidney	TCGA-KIRC
55215	10502145638	Stomach	TCGA-STAD
5534	2032178459	Colorectal	TCGA-READ
13293	5561247531	Lung	TCGA-LUSC
5667	1989085198	Colorectal	TCGA-COAD
11827	5859478177	Head and Neck	TCGA-HNSC
28018	7975801432	Bladder	TCGA-BLCA
3856	9403677298	Kidney	TCGA-KIRP
56020	8696001538	Brain	TCGA-GBM
14766	5534865167	Breast	TCGA-BRCA
5844	4614817769	Bladder	TCGA-BLCA
149378	5481324908	Thymus	TCGA-THYM
3358	7583463606	Kidney	TCGA-KIRP
12851	8138883659	Brain	TCGA-LGG
55018	16188257782	Ovary	TCGA-OV
73343	6831082860	Breast	TCGA-BRCA
94212	8649532577	Kidney	TCGA-KIRC
8093	8456438212	Kidney	TCGA-KIRC
2202	3959693306	Kidney	TCGA-KIRP
9038	4381938076	Breast	TCGA-BRCA
10999	6014371186	Soft Tissue	TCGA-SARC
7893	5921029749	Pleura	TCGA-MESO
7585	2670677897	Skin	TCGA-SKCM
21984	7365572812	Thyroid	TCGA-THCA
10892	8394095377	Breast	TCGA-BRCA
12990	7545188409	Bladder	TCGA-BLCA
129132	5384344086	Kidney	TCGA-KIRC
12509	9102548766	Skin	TCGA-SKCM
13613	4948702044	Kidney	TCGA-KIRP
26253	8682476608	Soft Tissue	TCGA-SARC
1961	5476122648	Brain	TCGA-LGG
13356	2233916238	Colorectal	TCGA-COAD
6720	6255406312	Thyroid	TCGA-THCA
32648	8781776929	Thyroid	TCGA-THCA
3601	7094330984	Brain	TCGA-LGG
11756	7325064806	Kidney	TCGA-KICH
22046	4287849230	Kidney	TCGA-KICH
5596	9129452123	Ovary	TCGA-OV
47047	8385127225	Skin	TCGA-SKCM
14334	8466565098	Thyroid	TCGA-THCA
15406	12362292684	Esophagus	TCGA-ESCA
23000	8949909642	Ovary	TCGA-OV
4326	6159196368	Cervix	TCGA-CESC
5512	11406932739	Breast	TCGA-BRCA
22728	8642635217	Breast	TCGA-BRCA
35819	6854624197	Soft Tissue	TCGA-SARC
49559	12108578988	Ovary	TCGA-OV
12859	8460698843	Thyroid	TCGA-THCA
2245	5086216781	Brain	TCGA-LGG
4467	2460924220	Uterus	TCGA-UCEC
23577	6016054893	Adrenal Gland	TCGA-PCPG
3179	7770211028	Brain	TCGA-GBM
22054	9259735066	Breast	TCGA-BRCA
12523	8505061334	Lung	TCGA-LUAD
48351	5930003870	Testis	TCGA-TGCT
6073	5444193518	Brain	TCGA-LGG
27915	10014764220	Lung	TCGA-LUAD
29908	6876942905	Thymus	TCGA-THYM
5566	7541465506	Breast	TCGA-BRCA
34903	6049339339	Lung	TCGA-LUSC
36016	5538062341	Lung	TCGA-LUSC
1213	4151584433	Bone Marrow	TCGA-LAML
13724	6129169748	Bladder	TCGA-BLCA
42501	7356825077	Soft Tissue	TCGA-SARC
30667	6388911993	Bladder	TCGA-BLCA
48502	9331249434	Thyroid	TCGA-THCA
19291	5819711211	Breast	TCGA-BRCA
30966	17484624881	Ovary	TCGA-OV
117142	14756812019	Stomach	TCGA-STAD
26693	8276191002	Stomach	TCGA-STAD
31492	9617240593	Stomach	TCGA-STAD
2663	4660985988	Pancreas	TCGA-PAAD
12877	6317627099	Soft Tissue	TCGA-SARC
13844	5431687562	Lung	TCGA-LUSC
29933	4911728754	Head and Neck	TCGA-HNSC
13023	5834259136	Skin	TCGA-SKCM
24601	6040245426	Head and Neck	TCGA-HNSC
26567	3589339261	Testis	TCGA-TGCT
5096	1457347976	Colorectal	TCGA-COAD
15970	4326319326	Head and Neck	TCGA-HNSC
92214	6312830490	Kidney	TCGA-KIRC
2164	5319609360	Brain	TCGA-LGG
11834	5245037671	Kidney	TCGA-KIRC
34474	7651563210	Thyroid	TCGA-THCA
1993	5059224745	Head and Neck	TCGA-HNSC
7585	5576383239	Bladder	TCGA-BLCA
34090	8589343068	Ovary	TCGA-OV
62108	8714833688	Kidney	TCGA-KIRC
2090	6621202942	Brain	TCGA-LGG
5870	2336214873	Uterus	TCGA-UCEC
2155	5123006776	Head and Neck	TCGA-HNSC
3975	1887998369	Colorectal	TCGA-READ
1793	5518096418	Adrenal Gland	TCGA-PCPG
1643	5339591719	Adrenal Gland	TCGA-PCPG
20698	4275542173	Adrenal Gland	TCGA-PCPG
8596	4902700698	Uterus	TCGA-UCEC
8944	4600192379	Uterus	TCGA-UCEC
14556	9543748357	Breast	TCGA-BRCA
5671	3372860730	Colorectal	TCGA-COAD
3992	5887927157	Bladder	TCGA-BLCA
5756	7033032301	Kidney	TCGA-KICH
12801	7100295694	Kidney	TCGA-KICH
24606	5817581526	Bladder	TCGA-BLCA
45922	4476903332	Head and Neck	TCGA-HNSC
3387	5393039330	Lung	TCGA-LUSC
1286	4911902772	Adrenal Gland	TCGA-PCPG
3577	5378238876	Prostate	TCGA-PRAD
42009	15883399844	Esophagus	TCGA-ESCA
7598	2184099713	Uterus	TCGA-UCEC
1920	3968041743	Bone Marrow	TCGA-LAML
67757	8961044625	Kidney	TCGA-KIRC
11371	5780198076	Breast	TCGA-BRCA
16341	5709155040	Skin	TCGA-SKCM
68111	7950351754	Head and Neck	TCGA-HNSC
53823	8895379700	Lung	TCGA-LUSC
8894	7786252148	Bladder	TCGA-BLCA
40050	12210101509	Stomach	TCGA-STAD
46474	4851376849	Lung	TCGA-LUAD
9467	1998070503	Lung	TCGA-LUSC
47276	6920859840	Kidney	TCGA-KIRC
2304	6533033910	Brain	TCGA-LGG
38027	5462475068	Bladder	TCGA-BLCA
2515	661002466	Colorectal	TCGA-COAD
7886	3024686332	Bladder	TCGA-BLCA
11179	11596846423	Ovary	TCGA-OV
18097	5682021253	Kidney	TCGA-KIRP
2755	6759513412	Prostate	TCGA-PRAD
2219	5925562812	Prostate	TCGA-PRAD
10221	5562840893	Liver	TCGA-LIHC
17896	6690332645	Ovary	TCGA-OV
20229	5332213150	Breast	TCGA-BRCA
10997	6070715929	Testis	TCGA-TGCT
14178	8692545411	Breast	TCGA-BRCA
1145	3803255351	Kidney	TCGA-KIRP
21830	7060003713	Adrenal Gland	TCGA-ACC
30148	8056926972	Ovary	TCGA-OV
11312	7603548051	Breast	TCGA-BRCA
16401	7373094440	Breast	TCGA-BRCA
11059	3052543520	Bile Duct	TCGA-CHOL
253455	5543378133	Soft Tissue	TCGA-SARC
73133	5305219886	Adrenal Gland	TCGA-PCPG
20284	5574600950	Uterus	TCGA-UCEC
39613	10211279550	Lung	TCGA-LUAD
28630	14670449662	Esophagus	TCGA-ESCA
20730	7679719749	Skin	TCGA-SKCM
55057	8767326329	Lung	TCGA-LUAD
234577	4990773036	Soft Tissue	TCGA-SARC
31468	11562612615	Ovary	TCGA-OV
54183	6772663853	Kidney	TCGA-KIRC
3367	2191638704	Uterus	TCGA-UCEC
58052	8434218363	Lung	TCGA-LUAD
27240	10286079375	Lung	TCGA-LUAD
24541	22099807791	Esophagus	TCGA-ESCA
73831	3895887498	Testis	TCGA-TGCT
28409	7041800955	Uterus	TCGA-UCEC
2105	7544936305	Prostate	TCGA-PRAD
6515	7476310468	Prostate	TCGA-PRAD
12066	2002840299	Uterus	TCGA-UCEC
3083	6052397787	Kidney	TCGA-KIRP
4534	4931323951	Colorectal	TCGA-COAD
13541	4399231658	Colorectal	TCGA-COAD
6806	8743744904	Liver	TCGA-LIHC
163667	8629637795	Kidney	TCGA-KIRC
23549	17391287860	Ovary	TCGA-OV
52962	5460211327	Lung	TCGA-LUSC
4983	7996599533	Breast	TCGA-BRCA
32170	6666542087	Cervix	TCGA-CESC
62762	4683899484	Skin	TCGA-SKCM
9458	1762654370	Colorectal	TCGA-COAD
2269	7337022519	Brain	TCGA-LGG
64253	5980803930	Adrenal Gland	TCGA-ACC
14973	6723209692	Kidney	TCGA-KIRP
9478	6843862761	Thyroid	TCGA-THCA
1374	3495332682	Bone Marrow	TCGA-LAML
8041	2234643304	Uterus	TCGA-UCEC
18176	8272864422	Breast	TCGA-BRCA
1518	7747583972	Brain	TCGA-LGG
3374	3527249838	Prostate	TCGA-PRAD
86659	6637619405	Liver	TCGA-LIHC
393	6310686706	Kidney	TCGA-KIRP
6138	3640048815	Prostate	TCGA-PRAD
11707	6306159960	Breast	TCGA-BRCA
6773	6025655652	Head and Neck	TCGA-HNSC
16408	5616535465	Head and Neck	TCGA-HNSC
30792	7469738570	Cervix	TCGA-CESC
4474	7041683786	Cervix	TCGA-CESC
15296	7504872034	Thyroid	TCGA-THCA
16242	7991029375	Head and Neck	TCGA-HNSC
4800	8545652903	Head and Neck	TCGA-HNSC
29308	7135753801	Breast	TCGA-BRCA
43394	5407263993	Uterus	TCGA-UCEC
23539	5779474338	Bladder	TCGA-BLCA
2580	2249815331	Prostate	TCGA-PRAD
6852	6350815531	Skin	TCGA-SKCM
6397	3885350962	Bone Marrow	TCGA-LAML
70920	10389971350	Lung	TCGA-LUAD
33677	6538324167	Head and Neck	TCGA-HNSC
10394	7678576143	Head and Neck	TCGA-HNSC
4848	9103178315	Kidney	TCGA-KIRP
4473	5772908026	Kidney	TCGA-KIRP
53855	5667166791	Cervix	TCGA-CESC
2689	8095837254	Kidney	TCGA-KIRC
510	2412703717	Kidney	TCGA-KIRC
4284	5895647250	Kidney	TCGA-KIRC
10807	8280562110	Kidney	TCGA-KICH
4328	1285297151	Uterus	TCGA-UCEC
43563	5299303724	Kidney	TCGA-KIRC
64231	14520270420	Ovary	TCGA-OV
46808	12920529101	Stomach	TCGA-STAD
19794	13775176794	Stomach	TCGA-STAD
38485	5485145473	Head and Neck	TCGA-HNSC
22063	5024222954	Liver	TCGA-LIHC
15823	5842356574	Lung	TCGA-LUSC
21930	8189463289	Bladder	TCGA-BLCA
590	5565309415	Skin	TCGA-SKCM
8371	6594276169	Breast	TCGA-BRCA
153118	6482015270	Adrenal Gland	TCGA-PCPG
12195	6542360754	Breast	TCGA-BRCA
53035	6637884089	Adrenal Gland	TCGA-ACC
2771	5188037385	Prostate	TCGA-PRAD
2883	1059057180	Uterus	TCGA-UCEC
3306	11462178181	Brain	TCGA-LGG
77971	8203789754	Lung	TCGA-LUAD
7306	1867737791	Colorectal	TCGA-COAD
65728	6819038068	Breast	TCGA-BRCA
6984	8012424558	Cervix	TCGA-CESC
6943	5918851232	Colorectal	TCGA-READ
4572	7543470424	Pancreas	TCGA-PAAD
6340	5461961962	Kidney	TCGA-KIRP
1488	5040506766	Brain	TCGA-LGG
14127	5149090733	Liver	TCGA-LIHC
10734	5482735629	Head and Neck	TCGA-HNSC
3641	2858019021	Bone Marrow	TCGA-LAML
21643	6825005018	Stomach	TCGA-STAD
30721	9560709470	Breast	TCGA-BRCA
23207	5794929293	Uterus	TCGA-UCEC
6636	3424167757	Bladder	TCGA-BLCA
12107	6240313546	Lung	TCGA-LUAD
11787	8417408801	Breast	TCGA-BRCA
4801	5452334775	Liver	TCGA-LIHC
15910	5232679908	Thyroid	TCGA-THCA
6910	5854333652	Ovary	TCGA-OV
22600	5982448008	Lung	TCGA-LUAD
4339	1362100619	Colorectal	TCGA-COAD
71706	5801664316	Breast	TCGA-BRCA
18382	8714785244	Breast	TCGA-BRCA
4376	6575266070	Kidney	TCGA-KIRC
49726	7482376910	Kidney	TCGA-KIRC
50062	14246810224	Ovary	TCGA-OV
20393	6878770764	Lung	TCGA-LUSC
20393	6879306039	Lung	TCGA-LUSC
15748	5600529942	Breast	TCGA-BRCA
136307	6576252124	Kidney	TCGA-KIRC
3100	1672424860	Colorectal	TCGA-READ
38512	19009648016	Esophagus	TCGA-ESCA
2699	16148212452	Esophagus	TCGA-ESCA
33503	3927022589	Head and Neck	TCGA-HNSC
33002	5684649854	Thymus	TCGA-THYM
23056	6419210865	Pancreas	TCGA-PAAD
15942	5797309240	Breast	TCGA-BRCA
122837	11855745363	Stomach	TCGA-STAD
14793	4481514558	Lung	TCGA-LUAD
10019	6889433142	Breast	TCGA-BRCA
3843	4858105820	Breast	TCGA-BRCA
4602	6635433162	Breast	TCGA-BRCA
1812	6564551050	Colorectal	TCGA-READ
49782	11584383078	Ovary	TCGA-OV
17609	7322564874	Thymus	TCGA-THYM
36949	5916405694	Pancreas	TCGA-PAAD
14743	2942774364	Lung	TCGA-LUAD
28172	2715564213	Lung	TCGA-LUAD
50913	17574532824	Esophagus	TCGA-ESCA
29562	16378256008	Ovary	TCGA-OV
21246	6453026213	Soft Tissue	TCGA-SARC
2872	2788231246	Skin	TCGA-SKCM
3303	5483180902	Kidney	TCGA-KIRC
8228	1371903748	Colorectal	TCGA-COAD
12941	8520708240	Kidney	TCGA-KIRC
23172	6010338846	Colorectal	TCGA-COAD
5874	2512176923	Uterus	TCGA-UCEC
51055	15021224441	Ovary	TCGA-OV
58825	11977997835	Prostate	TCGA-PRAD
26096	6806790861	Pleura	TCGA-MESO
16841	18199271383	Esophagus	TCGA-ESCA
13803	6887276191	Lung	TCGA-LUSC
46097	6349670449	Head and Neck	TCGA-HNSC
21051	16473545659	Esophagus	TCGA-ESCA
9075	6110268082	Pleura	TCGA-MESO
3829	6634264733	Soft Tissue	TCGA-SARC
10625	6194720460	Adrenal Gland	TCGA-ACC
23883	3946182324	Cervix	TCGA-CESC
19406	6626036923	Thyroid	TCGA-THCA
6304	8607640941	Thyroid	TCGA-THCA
5784	2975455909	Breast	TCGA-BRCA
131168	13734299330	Stomach	TCGA-STAD
1801	6281534547	Prostate	TCGA-PRAD
5248	4710006447	Prostate	TCGA-PRAD
6835	5123414113	Liver	TCGA-LIHC
36603	5302257088	Uterus	TCGA-UCEC
15752	5825803808	Breast	TCGA-BRCA
26307	7914335193	Lung	TCGA-LUAD
46704	13677836034	Stomach	TCGA-STAD
17282	8144571544	Thyroid	TCGA-THCA
4369	8351371180	Breast	TCGA-BRCA
18013	8887740681	Skin	TCGA-SKCM
16987	9246467655	Breast	TCGA-BRCA
4112	7948042542	Brain	TCGA-LGG
33960	18529167890	Ovary	TCGA-OV
5149	2110971147	Uterus	TCGA-UCEC
6055	3362683087	Lung	TCGA-LUAD
128602	5178016167	Lung	TCGA-LUAD
27635	9704943133	Pancreas	TCGA-PAAD
5117	2273270813	Pancreas	TCGA-PAAD
51501	10032126391	Stomach	TCGA-STAD
14259	5699426244	Brain	TCGA-LGG
10447	6427245340	Prostate	TCGA-PRAD
607263	4748922758	Soft Tissue	TCGA-SARC
7625	2053680955	Uterus	TCGA-UCEC
10433	2096653074	Uterus	TCGA-UCEC
10662	5404752235	Head and Neck	TCGA-HNSC
8408	4903871486	Colorectal	TCGA-READ
16320	6294347355	Adrenal Gland	TCGA-ACC
7434	7618236906	Kidney	TCGA-KICH
171970	15869532584	Stomach	TCGA-STAD
15811	9602040905	Esophagus	TCGA-ESCA
1468	7229438640	Kidney	TCGA-KIRP
11049	6935961679	Kidney	TCGA-KIRP
12886	2688316665	Colorectal	TCGA-COAD
5067	8223403906	Kidney	TCGA-KIRC
29753	5282986395	Testis	TCGA-TGCT
38217	14202354895	Ovary	TCGA-OV
53743	2898461045	Testis	TCGA-TGCT
7037	1948372580	Colorectal	TCGA-READ
6448	6091140352	Skin	TCGA-SKCM
156045	6151147260	Kidney	TCGA-KIRC
17394	6339240029	Breast	TCGA-BRCA
3490	7544060139	Breast	TCGA-BRCA
22004	3714439445	Testis	TCGA-TGCT
33634	5534099962	Kidney	TCGA-KIRC
11289	6303053238	Cervix	TCGA-CESC
4842	4638737688	Brain	TCGA-LGG
16511	8315109782	Thymus	TCGA-THYM
163492	5900379241	Lymph Nodes	TCGA-DLBC
1430	7933673643	Liver	TCGA-LIHC
21966	8259406627	Liver	TCGA-LIHC
13519	8225659095	Breast	TCGA-BRCA
8816	2422137110	Uterus	TCGA-UCEC
10094	3400739324	Lung	TCGA-LUAD
2896	3747794854	Lung	TCGA-LUAD
5376	6080076671	Lung	TCGA-LUAD
403	2703732754	Lung	TCGA-LUAD
17387	5920583997	Breast	TCGA-BRCA
8082	8123252389	Kidney	TCGA-KIRC
13945	5663767088	Kidney	TCGA-KIRP
7371	4628923405	Uterus	TCGA-UCEC
8011	7467407904	Ovary	TCGA-OV
10996	3657577403	Breast	TCGA-BRCA
1941	5890616854	Kidney	TCGA-KIRP
4569	6350465348	Prostate	TCGA-PRAD
4282	4310159218	Colorectal	TCGA-COAD
66507	8940277630	Thyroid	TCGA-THCA
1170	5117584288	Brain	TCGA-LGG
41205	7391998107	Colorectal	TCGA-COAD
34098	3641883530	Lung	TCGA-LUAD
8144	6518079733	Pleura	TCGA-MESO
5429	5467358409	Cervix	TCGA-CESC
27607	20884597556	Esophagus	TCGA-ESCA
2825	11344707744	Esophagus	TCGA-ESCA
9177	6227290347	Pleura	TCGA-MESO
36824	9825690151	Lung	TCGA-LUSC
17399	6646061658	Bladder	TCGA-BLCA
47380	6198183336	Pleura	TCGA-MESO
13370	7028868231	Head and Neck	TCGA-HNSC
9939	6931041130	Skin	TCGA-SKCM
40053	7056172136	Thyroid	TCGA-THCA
11075	2169041353	Colorectal	TCGA-COAD
43040	6662193805	Colorectal	TCGA-READ
7109	1829815721	Colorectal	TCGA-COAD
41336	4124825137	Testis	TCGA-TGCT
3288	2600568128	Uterus	TCGA-UCEC
75132	5761714118	Lung	TCGA-LUSC
34692	16552045222	Stomach	TCGA-STAD
1662	7877431825	Brain	TCGA-LGG
3433	2181485447	Uterus	TCGA-UCEC
32090	6700627523	Breast	TCGA-BRCA
23971	4246532921	Testis	TCGA-TGCT
5179	7858332226	Breast	TCGA-BRCA
37496	6873979199	Head and Neck	TCGA-HNSC
473	8271764414	Liver	TCGA-LIHC
22006	7063147514	Liver	TCGA-LIHC
12007	8086274994	Lung	TCGA-LUAD
33291	18291260177	Stomach	TCGA-STAD
9774	6206826770	Liver	TCGA-LIHC
15656	3791649962	Breast	TCGA-BRCA
4797	7870752142	Ovary	TCGA-OV
16488	7205212441	Bladder	TCGA-BLCA
5985	7015470990	Lung	TCGA-LUSC
14399	4802041748	Thyroid	TCGA-THCA
7343	6461614485	Prostate	TCGA-PRAD
1542	5308859174	Brain	TCGA-LGG
18773	10850281519	Ovary	TCGA-OV
1703	5282440004	Brain	TCGA-LGG
19654	3280364042	Lung	TCGA-LUAD
384	2624552235	Skin	TCGA-SKCM
17243	7982440288	Lung	TCGA-LUSC
3956	5300977053	Kidney	TCGA-KIRP
77999	8669589522	Kidney	TCGA-KIRC
14170	3595069920	Lung	TCGA-LUAD
3440	6329891776	Soft Tissue	TCGA-SARC
44277	5858809066	Bladder	TCGA-BLCA
11978	2119005322	Uterus	TCGA-UCEC
20392	4954091589	Colorectal	TCGA-COAD
9550	5578763252	Bladder	TCGA-BLCA
5347	7432276287	Kidney	TCGA-KIRP
1741	8973872433	Brain	TCGA-LGG
17042	7994909300	Breast	TCGA-BRCA
9828	6729286713	Thyroid	TCGA-THCA
7426	5454950368	Colorectal	TCGA-COAD
