target_id	length	eff_length	est_counts	tpm
lcl|AF157706.1_cds_AAD49614.1_1	2280	2081.9	8.5	244.554
lcl|AF157706.1_cds_AAD49618.1_2	603	408.577	0	0
lcl|AF157706.1_cds_AAD49617.1_3	480	292.609	1	204.705
lcl|AF157706.1_cds_AAD49616.1_4	240	96.9835	0	0
lcl|AF157706.1_cds_AAD49615.1_5	1179	980.901	42	2564.72
lcl|AF157706.1_cds_AAD49619.1_6	180	61.0614	9	8828.6
lcl|AF157706.1_cds_AAD49620.1_7	582	388.522	1	154.17
lcl|AF157706.1_cds_AAD49621.1_8	240	96.9835	4.394	2713.81
lcl|AF157706.1_cds_AAD49691.1_9	1092	893.901	17.606	1179.74
lcl|AF157706.1_cds_AAD49622.1_10	1161	962.901	20	1244.13
lcl|AF157706.1_cds_AAD49623.1_11	1608	1409.9	39	1656.89
lcl|AF157706.1_cds_AAD49634.1_12	2712	2513.9	92	2192.08
lcl|AF157706.1_cds_AAD49624.1_13	207	76.2973	0	0
lcl|AF157706.1_cds_AAD49625.1_14	1236	1037.9	31	1789.05
lcl|AF157706.1_cds_AAD49626.1_15	315	151.135	5	1981.62
lcl|AF157706.1_cds_AAD49627.1_16	1512	1313.9	36	1641.18
lcl|AF157706.1_cds_AAA02870.1_17	2577	2378.9	145	3650.97
lcl|AF157706.1_cds_AAD49690.1_18	618	423.112	23	3256.03
lcl|AF157706.1_cds_AAD49628.1_19	324	157.882	2	758.774
lcl|AF157706.1_cds_AAD49629.1_20	1833	1634.9	388	14215.3
lcl|AF157706.1_cds_AAD49689.1_21	576	382.715	62	9703.59
lcl|AF157706.1_cds_AAD49635.1_22	1005	806.901	48	3563.18
lcl|AF157706.1_cds_AAD49630.1_23	885	687.082	59	5143.51
lcl|AF157706.1_cds_AAD49631.1_24	1170	971.901	50	3081.52
lcl|AF157706.1_cds_AAD49632.1_25	1305	1106.9	38	2056.32
lcl|AF157706.1_cds_AAD49633.1_26	1503	1304.9	166	7619.86
lcl|AF157706.1_cds_AAD49636.1_27	609	414.424	18	2601.62
lcl|AF157706.1_cds_AAD49688.1_28	900	702.082	77	6569.3
lcl|AF157706.1_cds_AAD49637.1_29	267	115.404	67	34775.1
lcl|AF157706.1_cds_AAD49638.1_30	174	57.7392	27	28009.8
lcl|AF157706.1_cds_AAD49639.1_31	951	752.901	76	6046.34
lcl|AF157706.1_cds_AAD49640.1_32	888	690.082	200	17359.8
lcl|AF157706.1_cds_AAD49641.1_33	1101	902.901	165	10946.1
lcl|AF157706.1_cds_AAD49642.1_34	2415	2216.9	88	2377.68
lcl|AF157706.1_cds_AAD49643.1_35	900	702.082	52.3342	4464.92
lcl|AF157706.1_cds_AAD49644.1_36	3249	3050.9	58.6658	1151.79
lcl|AF157706.1_cds_AAD49645.1_37	6234	6035.9	146	1448.86
lcl|AF157706.1_cds_AAD49646.1_38	270	117.479	64	32631.5
lcl|AF157706.1_cds_AAD49647.1_39	1413	1214.9	87	4289.38
lcl|AF157706.1_cds_AAD49648.1_40	831	633.33	95	8984.83
lcl|AF157706.1_cds_AAD49649.1_41	321	155.611	7	2694.48
lcl|AF157706.1_cds_AAD49650.1_42	1455	1256.9	37	1763.26
lcl|AF157706.1_cds_AAD49651.1_43	795	597.714	135	13528.7
lcl|AF157706.1_cds_AAD49652.1_44	3039	2840.9	208	4385.55
lcl|AF157706.1_cds_AAD49653.1_45	2493	2294.9	178	4645.93
lcl|AF157706.1_cds_AAD49654.1_46	2181	1982.9	101	3050.96
lcl|AF157706.1_cds_AAB06339.1_47	3399	3200.9	96	1796.45
lcl|AF157706.1_cds_AAB06340.1_48	1551	1352.9	90	3984.68
lcl|AF157706.1_cds_AAB06341.1_49	2583	2384.9	61	1532.06
