target_id	length	eff_length	est_counts	tpm
lcl|AF157706.1_cds_AAB06342.1_50	696	499.644	60	7192.95
lcl|AF157706.1_cds_AAB06343.1_51	1131	932.901	62	3980.82
lcl|AF157706.1_cds_AAB06344.1_52	255	107.018	44	24627.1
lcl|AF157706.1_cds_AAB06345.1_53	2217	2018.9	241	7150.21
lcl|AF157706.1_cds_AAB06346.1_54	2085	1886.9	201	6380.63
lcl|AF157706.1_cds_AAB06347.1_55	759	561.788	10.3899	1107.78
lcl|AF157706.1_cds_AAB06348.1_56	1668	1469.9	70.6101	2877.37
lcl|AF157706.1_cds_AAB06349.1_57	906	708.082	236	19963.9
lcl|AF157706.1_cds_AAD49655.1_58	777	579.788	42	4339.07
lcl|AF157706.1_cds_AAD49656.1_59	1587	1388.9	376	16215.6
lcl|AF157706.1_cds_AAD49657.1_60	1380	1181.9	572	28988.9
lcl|AF157706.1_cds_AAD49658.1_61	1479	1280.9	37	1730.23
lcl|AF157706.1_cds_AAD49659.1_62	891	693.082	311	26877.7
lcl|AF157706.1_cds_AAD49660.1_63	4038	3839.9	450	7019.54
lcl|AF157706.1_cds_AAD49661.1_64	2319	2120.9	14	395.389
lcl|AF157706.1_cds_AAD49662.1_65	1053	854.901	67	4694.35
lcl|AF157706.1_cds_AAD49667.1_66	2001	1802.9	62	2059.85
lcl|AF157706.1_cds_AAD49663.1_67	264	113.394	5	2641.17
lcl|AF157706.1_cds_AAD49664.1_68	657	461.289	36	4674.61
lcl|AF157706.1_cds_AAD49665.1_69	1329	1130.9	39	2065.65
lcl|AF157706.1_cds_AAD49666.1_70	1008	809.901	179	13238.5
lcl|AF157706.1_cds_AAD49668.1_71	1062	863.901	35	2426.73
lcl|AF157706.1_cds_AAD49669.1_72	345	174.993	42	14376.2
lcl|AF157706.1_cds_AAD49670.1_73	1692	1493.9	201	8059.18
lcl|AF157706.1_cds_AAB06353.1_74	1467	1268.9	207	9771.45
lcl|AF157706.1_cds_AAB06354.1_75	246	101.121	39	23101.5
lcl|AF157706.1_cds_AAB06355.1_76	1035	836.901	183	13097.7
lcl|AF157706.1_cds_AAB06356.1_77	2343	2144.9	56	1563.86
lcl|AF157706.1_cds_AAB06357.1_78	1989	1790.9	40	1337.84
lcl|AF157706.1_cds_AAB06358.1_79	750	552.926	31	3358.24
lcl|AF157706.1_cds_AAB06359.1_80	1989	1790.9	50.4038	1685.81
lcl|AF157706.1_cds_AAB06360.1_81	2475	2276.9	94.5962	2488.55
lcl|AF157706.1_cds_AAB06361.1_82	240	96.9835	14	8646.63
lcl|AF157706.1_cds_AAB06362.1_83	228	89.2631	90	60393
lcl|AF157706.1_cds_AAD49671.1_84	1443	1244.9	362	17417.7
lcl|AF157706.1_cds_AAB06365.1_85	768	570.788	114	11963.2
lcl|AF157706.1_cds_AAB06366.1_86	753	555.926	52	5602.77
lcl|AF157706.1_cds_AAB06367.1_87	342	172.543	813	282235
lcl|AF157706.1_cds_AAD49672.1_88	1029	830.901	64	4613.68
lcl|AF157706.1_cds_AAD49673.1_89	879	681.082	33	2902.22
lcl|AF157706.1_cds_AAD49674.1_90	4563	4364.9	62	850.812
lcl|AF157706.1_cds_AAD49675.1_91	3237	3038.9	140	2759.48
lcl|AF157706.1_cds_AAD49676.1_92	471	284.306	150	31602.6
lcl|AF157706.1_cds_AAD49677.1_93	798	600.714	0	0
lcl|AF157706.1_cds_AAD49678.1_94	1473	1274.9	8	375.863
lcl|AF157706.1_cds_AAD49679.1_95	3639	3440.9	227	3951.57
lcl|AF157706.1_cds_AAD49680.1_96	1851	1652.9	179	6486.68
lcl|AF157706.1_cds_AAD49681.1_97	321	155.611	1	384.925
lcl|AF157706.1_cds_AAD49682.1_98	2280	2081.9	8.5	244.554
lcl|AF157706.1_cds_AAD49683.1_99	603	408.577	0	0
lcl|AF157706.1_cds_AAD49684.1_100	480	292.609	1	204.705
lcl|AF157706.1_cds_AAD49685.1_101	240	96.9835	0	0
lcl|AF157706.1_cds_AAD49686.1_102	1179	980.901	42	2564.72
lcl|AF157706.1_cds_AAD49687.1_103	180	61.0614	9	8828.6
