SRR	Activation	nReads	CellInput	DayStim	DonorID	GSMID	mod
SRR2453698	FALSE	11345101	Memory	0	4659	GSM1888682	H3K4me2
SRR2453699	FALSE	12182359	Memory	0	4659	GSM1888683	H3K4me3
SRR2453700	TRUE	12192139	Memory	5	4659	GSM1888684	H3K4me2
SRR2453701	TRUE	25277773	Memory	5	4659	GSM1888685	H3K4me3
SRR2453702	FALSE	12684396	Naive	0	4659	GSM1888686	H3K4me2
SRR2453703	FALSE	15650329	Naive	0	4659	GSM1888687	H3K4me3
SRR2453704	TRUE	13132833	Naive	5	4659	GSM1888688	H3K4me2
SRR2453705	TRUE	20080637	Naive	5	4659	GSM1888689	H3K4me3
SRR2453706	FALSE	15029632	Memory	0	5053	GSM1888690	H3K4me2
SRR2453707	FALSE	14297650	Memory	0	5053	GSM1888691	H3K4me3
SRR2453708	TRUE	15429912	Memory	5	5053	GSM1888692	H3K4me2
SRR2453709	TRUE	16648434	Memory	5	5053	GSM1888693	H3K4me3
SRR2453710	FALSE	12283413	Naive	0	5053	GSM1888694	H3K4me2
SRR2453711	FALSE	9439142	Naive	0	5053	GSM1888695	H3K4me3
SRR2453712	TRUE	14068652	Naive	5	5053	GSM1888696	H3K4me2
SRR2453713	TRUE	19413392	Naive	5	5053	GSM1888697	H3K4me3
SRR2453714	FALSE	8967609	Memory	0	5131	GSM1888698	H3K4me2
SRR2453715	FALSE	7370077	Memory	0	5131	GSM1888699	H3K4me3
SRR2453716	TRUE	5606564	Memory	5	5131	GSM1888700	H3K4me2
SRR2453717	TRUE	17530145	Memory	5	5131	GSM1888701	H3K4me3
SRR2453718	FALSE	8393173	Naive	0	5131	GSM1888702	H3K4me2
SRR2453719	FALSE	6211033	Naive	0	5131	GSM1888703	H3K4me3
SRR2453720	TRUE	10552682	Naive	5	5131	GSM1888704	H3K4me2
SRR2453721	TRUE	16517130	Naive	5	5131	GSM1888705	H3K4me3
SRR2453722	FALSE	13394382	Memory	0	5291	GSM1888706	H3K4me2
SRR2453723	FALSE	26589985	Memory	0	5291	GSM1888707	H3K4me3
SRR2453724	TRUE	18088556	Memory	5	5291	GSM1888708	H3K4me2
SRR2453725	TRUE	13185480	Memory	5	5291	GSM1888709	H3K4me3
SRR2453726	FALSE	21145145	Naive	0	5291	GSM1888710	H3K4me2
SRR2453727	FALSE	13482750	Naive	0	5291	GSM1888711	H3K4me3
SRR2453728	TRUE	14225994	Naive	5	5291	GSM1888712	H3K4me2
SRR2453729	TRUE	13174478	Naive	5	5291	GSM1888713	H3K4me3
SRR2453730	FALSE	11432910	Memory	0	4659	GSM1888714	input
SRR2453731	TRUE	14467236	Memory	5	4659	GSM1888715	input
SRR2453732	FALSE	12241176	Naive	0	4659	GSM1888716	input
SRR2453733	TRUE	12609775	Naive	5	4659	GSM1888717	input
SRR2453734	FALSE	12916252	Memory	0	5053	GSM1888718	input
SRR2453735	TRUE	10866463	Memory	5	5053	GSM1888719	input
SRR2453736	FALSE	16945042	Naive	0	5053	GSM1888720	input
SRR2453737	TRUE	27619543	Naive	5	5053	GSM1888721	input
SRR2453738	FALSE	33378205	Memory	0	5131	GSM1888722	input
SRR2453739	TRUE	19824158	Memory	5	5131	GSM1888723	input
SRR2453740	FALSE	33181682	Naive	0	5131	GSM1888724	input
SRR2453741	TRUE	24711892	Naive	5	5131	GSM1888725	input
SRR2453742	FALSE	30723246	Memory	0	5291	GSM1888726	input
SRR2453743	TRUE	31525263	Memory	5	5291	GSM1888727	input
SRR2453744	FALSE	29248540	Naive	0	5291	GSM1888728	input
SRR2453745	TRUE	14030807	Naive	5	5291	GSM1888729	input
SRR2453746	TRUE	17722891	Memory	1	4659	GSM1888730	H3K27me3
SRR2453747	TRUE	15013676	Memory	1	4659	GSM1888731	H3K4me2
SRR2453748	TRUE	20739705	Memory	1	4659	GSM1888732	H3K4me3
SRR2453749	TRUE	11646633	Memory	1	4659	GSM1888733	input
SRR2453750	TRUE	26698922	Naive	1	4659	GSM1888734	H3K27me3
SRR2453751	TRUE	26375084	Naive	1	4659	GSM1888735	H3K4me2
SRR2453752	TRUE	11951970	Naive	1	4659	GSM1888736	H3K4me3
SRR2453753	TRUE	27981011	Naive	1	4659	GSM1888737	input
SRR2453754	TRUE	14538895	Memory	1	5053	GSM1888738	H3K27me3
SRR2453755	TRUE	20770362	Memory	1	5053	GSM1888739	H3K4me2
SRR2453756	TRUE	15566595	Memory	1	5053	GSM1888740	H3K4me3
SRR2453757	TRUE	11319003	Memory	1	5053	GSM1888741	input
SRR2453758	TRUE	16364200	Naive	1	5053	GSM1888742	H3K27me3
SRR2453759	TRUE	13747922	Naive	1	5053	GSM1888743	H3K4me2
SRR2453760	TRUE	14765133	Naive	1	5053	GSM1888744	H3K4me3
SRR2453761	TRUE	16920779	Naive	1	5053	GSM1888745	input
SRR2453762	TRUE	17385345	Memory	1	5131	GSM1888746	H3K27me3
SRR2453763	TRUE	13071339	Memory	1	5131	GSM1888747	H3K4me2
SRR2453764	TRUE	11374216	Memory	1	5131	GSM1888748	H3K4me3
SRR2453765	TRUE	12051673	Memory	1	5131	GSM1888749	input
SRR2453766	TRUE	15660808	Naive	1	5131	GSM1888750	H3K27me3
SRR2453767	TRUE	15239812	Naive	1	5131	GSM1888751	H3K4me2
SRR2453768	TRUE	943914200	Naive	1	5131	GSM1888752	H3K4me3
SRR2453769	TRUE	1406865200	Naive	1	5131	GSM1888753	input
SRR2453770	TRUE	1941339200	Memory	1	5291	GSM1888754	H3K27me3
SRR2453771	TRUE	896760900	Memory	1	5291	GSM1888755	H3K4me2
SRR2453772	TRUE	737007700	Memory	1	5291	GSM1888756	H3K4me3
SRR2453773	TRUE	560656400	Memory	1	5291	GSM1888757	input
SRR2453774	TRUE	1753014500	Naive	1	5291	GSM1888758	H3K27me3
SRR2453775	TRUE	839317300	Naive	1	5291	GSM1888759	H3K4me2
SRR2453776	TRUE	621103300	Naive	1	5291	GSM1888760	H3K4me3
SRR2453777	TRUE	1055268200	Naive	1	5291	GSM1888761	input
SRR2453778	TRUE	1651713000	Memory	14	4659	GSM1888762	H3K4me2
SRR2453779	TRUE	1339438200	Memory	14	4659	GSM1888763	H3K4me3
SRR2453780	TRUE	2658998500	Naive	14	4659	GSM1888764	H3K4me2
SRR2453781	TRUE	1808855600	Naive	14	4659	GSM1888765	H3K4me3
SRR2453782	TRUE	1318548000	Memory	14	5053	GSM1888766	H3K4me2
SRR2453783	TRUE	2114514500	Memory	14	5053	GSM1888767	H3K4me3
SRR2453784	TRUE	1348275000	Naive	14	5053	GSM1888768	H3K4me2
SRR2453785	TRUE	1422599400	Naive	14	5053	GSM1888769	H3K4me3
SRR2453786	TRUE	1317447800	Memory	14	5131	GSM1888770	H3K4me2
SRR2453787	TRUE	1143291000	Memory	14	5131	GSM1888771	H3K4me3
SRR2453788	TRUE	1446723600	Naive	14	5131	GSM1888772	H3K4me2
SRR2453789	TRUE	1224117600	Naive	14	5131	GSM1888773	H3K4me3
SRR2453790	TRUE	1260977500	Memory	14	5291	GSM1888774	H3K4me2
SRR2453791	TRUE	1291625200	Memory	14	5291	GSM1888775	H3K4me3
SRR2453792	TRUE	1086646300	Naive	14	5291	GSM1888776	H3K4me2
SRR2453793	TRUE	1694504200	Naive	14	5291	GSM1888777	H3K4me3
SRR2453794	TRUE	2761954300	Memory	14	4659	GSM1888778	input
SRR2453795	TRUE	3337820500	Naive	14	4659	GSM1888779	input
SRR2453796	TRUE	1982415800	Memory	14	5053	GSM1888780	input
SRR2453797	TRUE	3318168200	Naive	14	5053	GSM1888781	input
SRR2453798	TRUE	2471189200	Memory	14	5131	GSM1888782	input
SRR2453799	TRUE	3072324600	Naive	14	5131	GSM1888783	input
SRR2453800	TRUE	3152526300	Memory	14	5291	GSM1888784	input
SRR2453801	TRUE	2924854000	Naive	14	5291	GSM1888785	input
SRR2453802	FALSE	1403080700	Memory	0	4659	GSM1888786	H3K27me3
SRR2453803	TRUE	1772289100	Memory	5	4659	GSM1888787	H3K27me3
SRR2453804	TRUE	1501367600	Memory	14	4659	GSM1888788	H3K27me3
SRR2453805	FALSE	2073970500	Naive	0	4659	GSM1888789	H3K27me3
SRR2453806	TRUE	1164663300	Naive	5	4659	GSM1888790	H3K27me3
SRR2453807	TRUE	2669892200	Naive	14	4659	GSM1888791	H3K27me3
SRR2453808	FALSE	2637508400	Memory	0	5053	GSM1888792	H3K27me3
SRR2453809	TRUE	1195197000	Memory	5	5053	GSM1888793	H3K27me3
SRR2453810	FALSE	2798101100	Naive	0	5053	GSM1888794	H3K27me3
SRR2453811	TRUE	1453889500	Naive	5	5053	GSM1888795	H3K27me3
SRR2453812	TRUE	2077036200	Naive	14	5053	GSM1888796	H3K27me3
SRR2453813	FALSE	1556659500	Memory	0	5131	GSM1888797	H3K27me3
SRR2453814	TRUE	1131900300	Memory	5	5131	GSM1888798	H3K27me3
SRR2453815	TRUE	1636420000	Memory	14	5131	GSM1888799	H3K27me3
SRR2453816	FALSE	1374792200	Naive	0	5131	GSM1888800	H3K27me3
SRR2453817	TRUE	1476513300	Naive	5	5131	GSM1888801	H3K27me3
SRR2453818	TRUE	1692077900	Naive	14	5131	GSM1888802	H3K27me3
SRR2453819	FALSE	1738534500	Memory	0	5291	GSM1888803	H3K27me3
SRR2453820	TRUE	1307133900	Memory	5	5291	GSM1888804	H3K27me3
SRR2453821	TRUE	1137421600	Memory	14	5291	GSM1888805	H3K27me3
SRR2453822	FALSE	1205167300	Naive	0	5291	GSM1888806	H3K27me3
SRR2453823	TRUE	1566080800	Naive	5	5291	GSM1888807	H3K27me3
SRR2453824	TRUE	1523981200	Naive	14	5291	GSM1888808	H3K27me3
